Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
rxjava3,hu.akarnokd.rxjava3,MarblesAddBackground,main,37,7,1,11,0,,
rxjava3,hu.akarnokd.rxjava3,SomeCombine,main,9,1,1,9,0,,
rxjava3,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,main,27,4,1,12,0,,
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher,ParallelFromPublisher,5,1,3,23,0,,
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher,parallelism,3,1,0,29,0,,
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher,subscribe,6,2,1,34,0,,
rxjava3,hu.akarnokd.rxjava3,UsingWhen,usingWhen,3,1,3,28,0,,
rxjava3,hu.akarnokd.rxjava3,UsingWhen,usingWhen,3,1,2,46,0,,
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest,main,9,2,1,29,0,,
rxjava3,hu.akarnokd.rxjava3,ShareExample,main,21,1,1,8,0,,
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,ParallelFromBatchPublisher,5,1,3,23,0,,
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,parallelism,3,1,0,29,0,,
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,subscribe,6,2,1,34,0,,
